TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
AR	19.381	5.546e-84	11.403	0.537	0.012	8.216e-06
HOXB13	6.528	3.334e-11	12.606	0.533	0.017	2.035e-05
MAML3	3.445	2.851e-04	16.405	0.536	0.018	2.459e-05
GATA3	9.024	9.079e-20	9.988	0.526	0.024	6.287e-05
REST	7.641	1.080e-14	10.015	0.529	0.024	6.287e-05
RAD21	8.780	8.169e-19	10.021	0.525	0.025	7.170e-05
DUX4	2.752	2.960e-03	14.006	0.533	0.025	7.170e-05
FOXA1	16.690	7.791e-63	9.498	0.526	0.026	7.802e-05
FOXA2	6.740	7.933e-12	10.910	0.522	0.026	8.132e-05
TLE3	3.465	2.649e-04	12.555	0.523	0.027	9.176e-05
PHOX2B	1.723	4.245e-02	41.481	0.529	0.034	1.736e-04
OTX2	6.734	8.266e-12	9.549	0.520	0.035	1.849e-04
NUP98-HOXA9	1.731	4.171e-02	12.240	0.548	0.036	2.028e-04
CENPT	1.726	4.218e-02	13.986	0.533	0.036	2.154e-04
EHMT2	4.790	8.347e-07	9.328	0.524	0.037	2.284e-04
CTCF	23.637	7.959e-124	7.242	0.521	0.038	2.490e-04
PIAS1	5.594	1.107e-08	9.432	0.520	0.038	2.561e-04
ATF4	3.192	7.055e-04	10.167	0.519	0.040	2.859e-04
LMNA	2.239	1.258e-02	10.361	0.524	0.040	2.859e-04
SMC3	7.264	1.876e-13	7.369	0.521	0.041	3.016e-04
GATA6	4.617	1.943e-06	9.958	0.517	0.041	3.016e-04
EBF3	2.374	8.810e-03	10.952	0.519	0.041	3.179e-04
GATA2	5.094	1.752e-07	10.123	0.511	0.042	3.435e-04
SMC1A	5.791	3.506e-09	6.672	0.525	0.045	4.083e-04
EP300	7.667	8.837e-15	5.004	0.557	0.045	4.182e-04
GATA4	5.286	6.258e-08	9.123	0.513	0.046	4.282e-04
SOX2	5.819	2.960e-09	5.297	0.538	0.047	4.808e-04
NANOG	5.830	2.765e-09	5.146	0.541	0.048	5.030e-04
CHAT	2.116	1.715e-02	26.759	0.507	0.048	5.030e-04
CEBPB	8.886	3.177e-19	5.534	0.523	0.049	5.375e-04
HOXC9	2.274	1.147e-02	11.532	0.509	0.052	6.373e-04
SMARCA2	2.395	8.319e-03	7.298	0.523	0.052	6.506e-04
CDX2	2.166	1.514e-02	5.997	0.540	0.053	6.777e-04
NR3C1	9.208	1.654e-20	5.000	0.520	0.058	8.887e-04
SIX2	3.298	4.874e-04	10.066	0.501	0.059	9.221e-04
NKX3-1	2.033	2.105e-02	9.369	0.511	0.060	9.562e-04
ARID1A	1.578	5.727e-02	9.234	0.525	0.060	9.562e-04
EOMES	3.129	8.783e-04	6.330	0.515	0.061	1.009e-03
TBX5	2.955	1.563e-03	12.334	0.498	0.061	1.027e-03
ATF7IP	1.210	1.132e-01	10.172	0.531	0.061	1.045e-03
TCF4	2.367	8.974e-03	9.837	0.504	0.063	1.120e-03
PAX3	1.632	5.138e-02	10.095	0.510	0.066	1.281e-03
TOP1	2.908	1.819e-03	9.068	0.502	0.068	1.411e-03
TEAD1	3.196	6.957e-04	4.706	0.523	0.069	1.457e-03
ZIM3	1.611	5.354e-02	14.856	0.500	0.070	1.574e-03
PDX1	1.979	2.390e-02	9.079	0.505	0.071	1.623e-03
CENPC	1.720	4.273e-02	5.320	0.528	0.072	1.698e-03
KDM1B	1.486	6.870e-02	18.100	0.501	0.073	1.723e-03
ZNF654	2.282	1.123e-02	6.666	0.509	0.073	1.775e-03
PRDM1	1.920	2.741e-02	7.139	0.510	0.074	1.801e-03
SATB1	1.077	1.407e-01	25.304	0.506	0.079	2.226e-03
MYOG	1.862	3.130e-02	9.366	0.499	0.080	2.287e-03
SUMO1	4.275	9.559e-06	5.626	0.500	0.080	2.318e-03
SMAD1	1.659	4.859e-02	4.788	0.531	0.080	2.318e-03
HNF1A	1.657	4.881e-02	5.646	0.513	0.082	2.478e-03
ESR1	9.415	2.369e-21	3.924	0.509	0.083	2.543e-03
SMAD3	3.220	6.418e-04	3.087	0.527	0.086	2.890e-03
LHX2	1.496	6.734e-02	4.688	0.535	0.087	2.926e-03
TEAD4	3.178	7.412e-04	4.639	0.507	0.087	2.963e-03
TP73	2.253	1.212e-02	6.915	0.498	0.088	3.074e-03
HOTAIR	1.889	2.943e-02	20.961	0.487	0.088	3.112e-03
POU5F1	5.258	7.298e-08	3.891	0.510	0.090	3.227e-03
FOXH1	1.871	3.066e-02	5.480	0.505	0.090	3.266e-03
STAG1	5.589	1.142e-08	3.688	0.510	0.090	3.306e-03
SOX11	1.484	6.891e-02	12.910	0.494	0.091	3.345e-03
PAX6	1.615	5.316e-02	6.466	0.504	0.092	3.466e-03
PR	2.968	1.500e-03	4.896	0.501	0.092	3.507e-03
SPIB	1.639	5.060e-02	4.804	0.515	0.092	3.548e-03
HAND2	1.540	6.174e-02	6.807	0.504	0.093	3.590e-03
CTNNB1	1.683	4.619e-02	4.516	0.517	0.095	3.846e-03
ZBTB2	1.776	3.787e-02	7.750	0.493	0.097	4.160e-03
TRIM28	1.372	8.505e-02	12.259	0.492	0.098	4.300e-03
HNF4G	1.309	9.520e-02	5.467	0.510	0.101	4.638e-03
ZNF317	1.443	7.454e-02	10.817	0.491	0.102	4.738e-03
HNF1B	1.568	5.847e-02	5.105	0.506	0.102	4.738e-03
ZNF649	1.200	1.152e-01	14.783	0.491	0.102	4.738e-03
PPARG	2.892	1.913e-03	3.859	0.505	0.104	4.993e-03
HES2	6.604	1.999e-11	3.028	0.504	0.104	5.098e-03
HDAC3	1.490	6.808e-02	6.690	0.498	0.105	5.151e-03
TEAD1-TEAD4	1.696	4.499e-02	3.560	0.520	0.105	5.151e-03
MAFK	1.756	3.959e-02	5.370	0.497	0.105	5.204e-03
NKX2-1	1.851	3.212e-02	7.633	0.489	0.105	5.204e-03
NEUROD1	2.067	1.935e-02	5.195	0.495	0.107	5.532e-03
MEIS1	2.077	1.890e-02	4.156	0.501	0.109	5.758e-03
RING1	1.583	5.676e-02	8.453	0.490	0.109	5.815e-03
ZNF680	1.449	7.366e-02	9.107	0.492	0.109	5.873e-03
NME2	1.213	1.126e-01	16.661	0.486	0.111	6.108e-03
YAP1	2.807	2.499e-03	2.889	0.508	0.114	6.596e-03
EWSR1	1.294	9.792e-02	3.984	0.518	0.114	6.722e-03
TP63	3.592	1.642e-04	4.527	0.490	0.116	6.979e-03
PRDM6	1.474	7.020e-02	4.719	0.501	0.119	7.512e-03
JUN	2.953	1.574e-03	2.149	0.512	0.119	7.650e-03
MEF2B	3.065	1.089e-03	3.645	0.495	0.119	7.650e-03
AHR	1.599	5.487e-02	5.790	0.490	0.120	7.719e-03
SMARCC1	2.301	1.068e-02	2.767	0.505	0.122	8.072e-03
BAHD1	1.080	1.401e-01	9.701	0.490	0.122	8.216e-03
PCGF2	1.743	4.064e-02	4.368	0.493	0.125	8.810e-03
FOXO1	1.527	6.343e-02	3.182	0.509	0.125	8.810e-03
JUND	2.372	8.854e-03	3.676	0.494	0.125	8.886e-03
ZNF486	1.181	1.188e-01	56.829	0.478	0.125	8.886e-03
SFPQ	1.190	1.169e-01	7.190	0.490	0.127	9.117e-03
ZNF485	0.940	1.735e-01	18.047	0.482	0.129	9.591e-03
FOSL2	6.791	5.582e-12	2.248	0.497	0.129	9.753e-03
EZH2	2.117	1.711e-02	1.739	0.514	0.131	1.016e-02
FOS	1.959	2.506e-02	2.735	0.502	0.132	1.025e-02
EBNA3C	1.993	2.315e-02	2.919	0.499	0.132	1.025e-02
SMAD2	1.982	2.372e-02	4.555	0.487	0.133	1.067e-02
PGR	1.376	8.441e-02	4.421	0.496	0.133	1.067e-02
NOTCH3	1.193	1.165e-01	5.562	0.490	0.134	1.076e-02
BMI1	1.183	1.184e-01	3.198	0.509	0.136	1.138e-02
SMAD2-SMAD3	1.626	5.200e-02	2.752	0.503	0.137	1.165e-02
ZNF800	1.380	8.379e-02	5.954	0.485	0.138	1.174e-02
SSU72	1.399	8.096e-02	3.907	0.497	0.139	1.202e-02
CEBPG	1.445	7.418e-02	5.740	0.482	0.141	1.250e-02
FEZF1	1.554	6.013e-02	5.096	0.483	0.142	1.279e-02
JARID2	2.503	6.152e-03	1.925	0.499	0.142	1.288e-02
ZNF22	0.847	1.986e-01	14.428	0.478	0.142	1.288e-02
SUMO2	1.225	1.104e-01	5.230	0.487	0.143	1.318e-02
PBX3	0.970	1.660e-01	2.616	0.520	0.144	1.348e-02
HOXA9	1.035	1.504e-01	4.964	0.492	0.145	1.358e-02
ZNF490	0.822	2.056e-01	21.125	0.477	0.145	1.358e-02
H2AFX	0.848	1.983e-01	4.712	0.497	0.146	1.409e-02
HLF	1.121	1.311e-01	10.249	0.476	0.146	1.409e-02
MAFF	1.032	1.511e-01	7.237	0.481	0.152	1.582e-02
DAXX	1.465	7.139e-02	4.209	0.486	0.155	1.674e-02
GRHL2	1.581	5.698e-02	3.873	0.485	0.157	1.733e-02
ZNF382	1.328	9.214e-02	7.277	0.474	0.160	1.842e-02
KDM3B	1.462	7.181e-02	3.410	0.488	0.161	1.892e-02
BANF1	1.501	6.664e-02	3.538	0.486	0.162	1.905e-02
SCRT1	0.826	2.045e-01	5.640	0.482	0.162	1.918e-02
ZNF133	0.834	2.023e-01	7.948	0.477	0.162	1.930e-02
TP53	1.597	5.508e-02	1.738	0.499	0.163	1.943e-02
SIX1	1.220	1.112e-01	3.888	0.487	0.163	1.956e-02
ERF	1.001	1.584e-01	4.192	0.489	0.163	1.956e-02
POLR3D	1.152	1.247e-01	3.440	0.490	0.164	1.995e-02
LMNB1	0.872	1.915e-01	5.983	0.479	0.165	2.035e-02
DLX2	1.144	1.263e-01	3.770	0.489	0.166	2.048e-02
CHD7	1.215	1.121e-01	1.558	0.511	0.166	2.061e-02
SOX10	1.076	1.410e-01	4.125	0.487	0.166	2.075e-02
ZNF793	0.857	1.957e-01	8.657	0.475	0.167	2.102e-02
NEUROG2	2.030	2.117e-02	2.789	0.481	0.169	2.184e-02
PITX3	0.921	1.784e-01	4.904	0.481	0.171	2.254e-02
IRF5	0.696	2.432e-01	10.935	0.473	0.173	2.326e-02
FLI1	0.771	2.204e-01	1.571	0.520	0.177	2.490e-02
PGBD3	1.185	1.181e-01	2.695	0.490	0.177	2.490e-02
STAT3	1.477	6.982e-02	1.819	0.491	0.180	2.613e-02
DRAP1	1.124	1.305e-01	2.840	0.488	0.181	2.660e-02
ERCC2	0.820	2.062e-01	5.296	0.477	0.182	2.724e-02
PRMT1	1.149	1.254e-01	3.048	0.483	0.183	2.773e-02
CDK2	0.566	2.859e-01	8.822	0.476	0.184	2.806e-02
ELF3	1.131	1.291e-01	4.155	0.477	0.185	2.839e-02
FOSL1	1.180	1.189e-01	1.608	0.496	0.189	3.025e-02
ZNF26	0.712	2.383e-01	6.104	0.473	0.192	3.183e-02
CBX5	0.756	2.248e-01	2.283	0.494	0.193	3.237e-02
ZNF585A	0.784	2.164e-01	4.810	0.476	0.194	3.273e-02
DACOR1	0.602	2.736e-01	11.328	0.469	0.194	3.310e-02
WWTR1	1.272	1.017e-01	2.198	0.482	0.195	3.347e-02
ZFAT	0.944	1.726e-01	2.930	0.482	0.195	3.347e-02
OSR2	1.033	1.509e-01	4.138	0.474	0.197	3.440e-02
TCF7	0.497	3.097e-01	3.200	0.494	0.198	3.516e-02
ARID3A	0.966	1.670e-01	4.198	0.474	0.198	3.516e-02
TTF1	0.945	1.725e-01	4.812	0.472	0.201	3.632e-02
IRF4	1.461	7.201e-02	2.029	0.480	0.202	3.711e-02
ZNF586	0.565	2.859e-01	12.318	0.467	0.202	3.711e-02
CBX2	0.793	2.140e-01	4.038	0.476	0.203	3.750e-02
ZNF384	0.660	2.545e-01	3.344	0.482	0.204	3.810e-02
ZNF425	0.639	2.615e-01	7.274	0.470	0.204	3.810e-02
ZNF697	0.381	3.514e-01	7.238	0.476	0.205	3.851e-02
ZNF35	0.763	2.227e-01	4.225	0.475	0.205	3.871e-02
EED	0.910	1.813e-01	3.061	0.478	0.205	3.892e-02
MCM2	0.617	2.685e-01	7.351	0.470	0.206	3.953e-02
TCF21	1.499	6.694e-02	2.142	0.475	0.208	4.058e-02
BATF	1.344	8.940e-02	2.113	0.478	0.209	4.100e-02
PRDM14	0.782	2.170e-01	3.860	0.476	0.209	4.121e-02
SPI1	1.492	6.789e-02	1.362	0.482	0.210	4.185e-02
ATF2	0.994	1.600e-01	2.134	0.481	0.211	4.228e-02
ESCO2	0.783	2.168e-01	3.557	0.476	0.212	4.293e-02
RUNX2	0.539	2.950e-01	5.279	0.474	0.212	4.315e-02
GRIP1	0.863	1.941e-01	2.437	0.479	0.213	4.359e-02
ZNF823	0.556	2.890e-01	9.688	0.467	0.213	4.359e-02
ASCL1	0.447	3.275e-01	2.347	0.495	0.216	4.538e-02
CHRM2	0.620	2.676e-01	1.068	0.504	0.216	4.538e-02
NFIC	0.510	3.051e-01	3.009	0.486	0.218	4.652e-02
CHD5	0.660	2.546e-01	4.810	0.471	0.218	4.652e-02
TRIM22	1.135	1.281e-01	1.918	0.478	0.218	4.675e-02
ZNF136	0.504	3.071e-01	10.756	0.465	0.219	4.721e-02
ZNF781	0.572	2.836e-01	5.311	0.470	0.222	4.910e-02
CHD8	0.498	3.093e-01	2.106	0.492	0.222	4.934e-02
PROX1	1.091	1.375e-01	1.662	0.480	0.222	4.934e-02
KMT2B	0.809	2.093e-01	2.504	0.477	0.223	5.006e-02
TTF2	0.313	3.772e-01	1.093	0.521	0.224	5.055e-02
ZSCAN16	0.303	3.809e-01	2.552	0.495	0.224	5.055e-02
HIRA	0.627	2.653e-01	1.591	0.490	0.225	5.128e-02
MITF	0.655	2.563e-01	3.113	0.475	0.226	5.177e-02
