POLR2A_GSM1727107	AUC = 0.677
FXR1_GSM2752897	AUC = 0.671
POLR2A_GSM1847365	AUC = 0.665
POLR2A_GSM1727109	AUC = 0.664
NELFA_GSM2465105	AUC = 0.662
POLR2A_GSM2465109	AUC = 0.659
POLR2A_GSM1679113	AUC = 0.659
POLR2A_GSM1231605	AUC = 0.653
POLR2A_GSM1715555	AUC = 0.652
POLR2A_GSM2579067	AUC = 0.652
POLR2A_GSM1679095	AUC = 0.651
MED1_GSM1679110	AUC = 0.651
POLR2A_GSM2579065	AUC = 0.650
POLR2A_GSM1715556	AUC = 0.650
KDM5A_GSM2131193	AUC = 0.649
SUPT5H_GSM2465101	AUC = 0.649
NELFA_GSM2465106	AUC = 0.648
POLR2A_GSM1231606	AUC = 0.648
POLR2A_GSM1847369	AUC = 0.648
POLR2A_GSM2090927	AUC = 0.648
POLR2A_GSM1532407	AUC = 0.647
POLR2A_GSM1847367	AUC = 0.647
NELFA_GSM2465104	AUC = 0.646
POLR2A_GSM2670988	AUC = 0.646
MBD2_GSM1388126	AUC = 0.646
MYC_GSM762707	AUC = 0.646
MED1_GSM1847372	AUC = 0.645
POLR2A_GSM1846795	AUC = 0.645
POLR2A_GSM2644614	AUC = 0.645
MED1_GSM1847373	AUC = 0.644
POLR2A_GSM2572690	AUC = 0.644
POLR2A_GSM1679112	AUC = 0.644
POLR2A_GSM2465110	AUC = 0.644
POLR2A_GSM2473254	AUC = 0.644
MYC_GSM894059	AUC = 0.644
POLR2A_GSM2090929	AUC = 0.644
POLR2A_GSM1948649	AUC = 0.644
POLR2A_GSM1847368	AUC = 0.643
ZFX_GSM2741768	AUC = 0.643
GMEB2_GSM1239502	AUC = 0.642
POLR2A_GSM2218638	AUC = 0.642
POLR2A_GSM2909537	AUC = 0.642
LEF1_GSM1875145	AUC = 0.642
POLR2A_GSM2367765	AUC = 0.641
POLR2A_GSM1448891	AUC = 0.641
POLR2A_GSM2465093	AUC = 0.641
POLR2A_GSM726988	AUC = 0.641
POLR2A_GSM2218636	AUC = 0.641
POLR2A_GSM1177772	AUC = 0.641
MYC_GSM748527	AUC = 0.641
POLR2A_GSM1679094	AUC = 0.641
MED1_GSM1847374	AUC = 0.641
PHF8_GSM531964	AUC = 0.640
POLR2A_GSM2579063	AUC = 0.640
SIN3A_ENCSR920BLG_2	AUC = 0.640
NR2C2_GSM608155	AUC = 0.640
NELFA_GSM2465091	AUC = 0.640
YY1_GSM2597237	AUC = 0.640
KDM5A_GSM2131194	AUC = 0.640
POLR2A_GSM1727113	AUC = 0.639
POLR2A_GSM935645	AUC = 0.639
POLR2A_GSM726989	AUC = 0.639
BRD2_GSM2265637	AUC = 0.639
PAF1_GSM1727112	AUC = 0.639
POLR2A_GSM2367764	AUC = 0.639
POLR2A_GSM2741448	AUC = 0.638
POLR2A_GSM2151678	AUC = 0.638
MED1_GSM1679126	AUC = 0.638
POLR2A_GSM1968286	AUC = 0.638
POLR2A_GSM1976296	AUC = 0.638
POLR2A_GSM2589154	AUC = 0.638
MED1_GSM1679093	AUC = 0.637
PAF1_GSM1727096	AUC = 0.637
POLR2A_GSM2601547	AUC = 0.637
NELFE_GSM2151633	AUC = 0.637
MED1_GSM1679092	AUC = 0.637
MYCN_GSM2113515	AUC = 0.636
POLR2A_GSM1388130	AUC = 0.636
SAP30_GSM831018	AUC = 0.636
POLR2A_GSM1448893	AUC = 0.636
POLR2A_GSM802742	AUC = 0.636
RBP2_GSM700537	AUC = 0.636
POLR2A_GSM1239999	AUC = 0.636
LEF1_GSM1875146	AUC = 0.636
NELFE_GSM2151646	AUC = 0.636
POLR2A_GSM2729729	AUC = 0.636
HDAC1_GSM393950	AUC = 0.636
POLR2A_GSM2589155	AUC = 0.636
SPIN1_GSM1383879	AUC = 0.636
POLR2A_GSM1703608	AUC = 0.635
BRPF3_GSM1556188	AUC = 0.635
MYH11_GSM1122319	AUC = 0.635
NRF1_GSM935309	AUC = 0.635
POLR2A_GSM2465084	AUC = 0.635
POLR2A_GSM1846793	AUC = 0.635
POLR2A_GSM1846805	AUC = 0.635
TBP_GSM1122308	AUC = 0.635
ZFX_GSM2909536	AUC = 0.634
MED1_GSM1679124	AUC = 0.634
POLR2A_GSM1383857	AUC = 0.634
MED1_GSM894080	AUC = 0.634
POLR2A_GSM1846796	AUC = 0.634
E2F1_GSM1976292	AUC = 0.634
POLR2A_GSM1532405	AUC = 0.634
POLR2A_GSM1240001	AUC = 0.634
HCFC1_GSM779425	AUC = 0.634
DDX21_GSM2371331	AUC = 0.634
YY1_GSM2597228	AUC = 0.634
NRF1_ENCSR135ANT_2	AUC = 0.633
YY1_GSM2597236	AUC = 0.633
POLR2A_GSM2218629	AUC = 0.633
FLI1_GSM1122312	AUC = 0.633
POLR2A_GSM2218635	AUC = 0.633
PCGF1_GSM1319304	AUC = 0.633
POLR2A_GSM2151650	AUC = 0.633
CREB1_GSM1937941	AUC = 0.633
ZFX_GSM1057372	AUC = 0.633
NELFE_GSM2151644	AUC = 0.633
MED1_GSM1847370	AUC = 0.633
POLR2A_GSM2360958	AUC = 0.633
POLR2A_GSM2135496	AUC = 0.633
POLR2A_GSM2405922	AUC = 0.633
POLR2A_GSM569087	AUC = 0.633
E2F1_GSM1133656	AUC = 0.633
POLR2A_GSM1727103	AUC = 0.633
