TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
NR2C2	4.020	2.904e-05	2.521	0.638	0.038	2.561e-04
DNMT3B	2.807	2.496e-03	3.988	0.621	0.052	6.242e-04
FXR1	1.729	4.186e-02	3.388	0.650	0.053	6.640e-04
MYC	9.355	4.191e-21	1.735	0.645	0.057	8.403e-04
ZBTB33	3.768	8.220e-05	4.547	0.611	0.060	9.736e-04
HDAC1	3.649	1.316e-04	1.990	0.631	0.064	1.159e-03
EPC1	2.300	1.073e-02	2.657	0.628	0.067	1.324e-03
SUPT5H	3.616	1.494e-04	1.503	0.652	0.072	1.698e-03
TCOF1	1.704	4.417e-02	2.555	0.636	0.073	1.749e-03
ZNF445	1.612	5.352e-02	5.009	0.624	0.074	1.801e-03
MBD2	2.284	1.117e-02	1.923	0.636	0.077	2.049e-03
ZMYM3	2.310	1.046e-02	3.225	0.614	0.081	2.413e-03
TDRD3	1.625	5.207e-02	3.190	0.625	0.083	2.610e-03
NKRF	1.894	2.910e-02	3.085	0.617	0.086	2.854e-03
FAM208A	2.203	1.378e-02	2.297	0.623	0.086	2.854e-03
ZFX	2.536	5.612e-03	1.322	0.642	0.098	4.300e-03
MYH11	1.835	3.327e-02	1.726	0.632	0.101	4.589e-03
KDM5A	3.325	4.427e-04	1.113	0.643	0.103	4.890e-03
KRAB	2.611	4.518e-03	2.592	0.607	0.104	4.993e-03
ATF1	2.428	7.586e-03	1.733	0.621	0.104	5.046e-03
POLR2A	35.877	3.431e-282	0.894	0.666	0.105	5.151e-03
KLF1	2.304	1.061e-02	2.258	0.613	0.105	5.151e-03
ZTA	1.668	4.769e-02	3.820	0.608	0.106	5.312e-03
PAF1	4.983	3.132e-07	0.870	0.639	0.114	6.596e-03
ARNTL	2.088	1.839e-02	1.561	0.621	0.120	7.719e-03
CBFB	2.659	3.924e-03	1.310	0.622	0.121	7.929e-03
KAT5	2.613	4.489e-03	1.077	0.631	0.123	8.435e-03
RUNX1	3.176	7.466e-04	1.081	0.626	0.126	8.963e-03
KLF13	1.815	3.479e-02	2.405	0.606	0.126	8.963e-03
INO80	2.583	4.894e-03	0.968	0.633	0.128	9.352e-03
AUTS2	1.643	5.015e-02	1.479	0.627	0.128	9.431e-03
HEY1	1.725	4.227e-02	2.712	0.605	0.129	9.591e-03
MAPK1	2.100	1.784e-02	1.539	0.615	0.129	9.672e-03
GTF2B	4.446	4.384e-06	0.749	0.635	0.131	1.016e-02
KAT8	1.918	2.755e-02	1.431	0.620	0.132	1.033e-02
ZBTB7A	3.770	8.172e-05	1.212	0.614	0.134	1.076e-02
LEO1	1.415	7.851e-02	2.567	0.612	0.134	1.085e-02
ZNF711	1.541	6.168e-02	1.876	0.618	0.134	1.085e-02
BRPF3	2.761	2.881e-03	0.790	0.634	0.139	1.212e-02
KLF9	2.655	3.964e-03	0.922	0.627	0.139	1.221e-02
PHF6	1.650	4.948e-02	1.259	0.628	0.139	1.221e-02
ZNF639	1.896	2.901e-02	1.320	0.615	0.148	1.462e-02
NRF1	6.055	7.023e-10	0.620	0.627	0.150	1.505e-02
SIRT1	1.134	1.284e-01	3.048	0.610	0.150	1.516e-02
GATA1	1.174	1.203e-01	2.748	0.611	0.151	1.538e-02
KMT2D	3.621	1.470e-04	0.648	0.627	0.155	1.662e-02
ZNF740	1.630	5.155e-02	2.879	0.598	0.156	1.697e-02
GABPA	4.380	5.932e-06	0.511	0.628	0.156	1.721e-02
SP1	2.925	1.724e-03	0.820	0.619	0.159	1.793e-02
