"from.id"	"from.cord"	"to.id"	"to.cord"
"18"	"720000"	"64"	"2560000"
"67"	"2680000"	"90"	"3600000"
"91"	"3640000"	"95"	"3800000"
"100"	"4000000"	"114"	"4560000"
"119"	"4760000"	"122"	"4880000"
"123"	"4920000"	"172"	"6880000"
"173"	"6920000"	"185"	"7400000"
"186"	"7440000"	"191"	"7640000"
"192"	"7680000"	"244"	"9760000"
"245"	"9800000"	"264"	"10560000"
"265"	"10600000"	"323"	"12920000"
"344"	"13760000"	"362"	"14480000"
"366"	"14640000"	"370"	"14800000"
"372"	"14880000"	"394"	"15760000"
"395"	"15800000"	"427"	"17080000"
"429"	"17160000"	"490"	"19600000"
"491"	"19640000"	"515"	"20600000"
"516"	"20640000"	"606"	"24240000"
"609"	"24360000"	"656"	"26240000"
"657"	"26280000"	"668"	"26720000"
"669"	"26760000"	"746"	"29840000"
"750"	"30000000"	"895"	"35800000"
"896"	"35840000"	"928"	"37120000"
"929"	"37160000"	"954"	"38160000"
"955"	"38200000"	"971"	"38840000"
"972"	"38880000"	"995"	"39800000"
"996"	"39840000"	"1136"	"45440000"
"1137"	"45480000"	"1145"	"45800000"
"1146"	"45840000"	"1160"	"46400000"
"1161"	"46440000"	"1178"	"47120000"
"1179"	"47160000"	"1196"	"47840000"
"1197"	"47880000"	"1218"	"48720000"
"1219"	"48760000"	"1238"	"49520000"
"1239"	"49560000"	"1578"	"63120000"
"1579"	"63160000"	"1607"	"64280000"
"1608"	"64320000"	"1721"	"68840000"
"1722"	"68880000"	"1755"	"70200000"
"1756"	"70240000"	"1835"	"73400000"
"1836"	"73440000"	"1877"	"75080000"
"1878"	"75120000"	"1927"	"77080000"
"1928"	"77120000"	"1940"	"77600000"
"1941"	"77640000"	"1954"	"78160000"
"1955"	"78200000"	"2012"	"80480000"
"2013"	"80520000"	"2236"	"89440000"
"2237"	"89480000"	"2274"	"90960000"
"2275"	"91000000"	"2283"	"91320000"
"2284"	"91360000"	"2408"	"96320000"
"2409"	"96360000"	"2419"	"96760000"
"2420"	"96800000"	"2436"	"97440000"
"2437"	"97480000"	"2594"	"103760000"
"2600"	"104000000"	"2603"	"104120000"
"2607"	"104280000"	"2620"	"104800000"
"2625"	"105000000"	"2629"	"105160000"
"2634"	"105360000"	"2666"	"106640000"
"2668"	"106720000"	"2671"	"106840000"
"2674"	"106960000"	"2681"	"107240000"
"2683"	"107320000"	"2702"	"108080000"
"2703"	"108120000"	"2706"	"108240000"
"2707"	"108280000"	"2718"	"108720000"
"2725"	"109000000"	"2881"	"115240000"
"2882"	"115280000"	"2891"	"115640000"
"2892"	"115680000"	"2900"	"116000000"
"2901"	"116040000"	"2916"	"116640000"
"2917"	"116680000"	"2942"	"117680000"
"2943"	"117720000"	"2999"	"119960000"
"3000"	"120000000"	"3010"	"120400000"
"3011"	"120440000"	"3017"	"120680000"
"3027"	"121080000"	"3031"	"121240000"
"3563"	"142520000"	"3566"	"142640000"
"3598"	"143920000"	"3601"	"144040000"
"3620"	"144800000"	"3632"	"145280000"
"3635"	"145400000"	"3645"	"145800000"
"3662"	"146480000"	"3685"	"147400000"
"3725"	"149000000"	"3734"	"149360000"
"3741"	"149640000"	"3744"	"149760000"
"3746"	"149840000"	"4467"	"178680000"
"4468"	"178720000"	"4486"	"179440000"
"4487"	"179480000"	"4935"	"197400000"
"4936"	"197440000"	"4975"	"199000000"
"4976"	"199040000"	"5064"	"202560000"
"5065"	"202600000"	"5092"	"203680000"
"5093"	"203720000"	"5147"	"205880000"
"5152"	"206080000"	"5158"	"206320000"
"5162"	"206480000"	"5170"	"206800000"
"5171"	"206840000"	"5200"	"208000000"
"5201"	"208040000"	"5338"	"213520000"
"5339"	"213560000"	"5353"	"214120000"
"5354"	"214160000"	"5369"	"214760000"
"5370"	"214800000"	"5458"	"218320000"
"5459"	"218360000"	"5507"	"220280000"
"5508"	"220320000"	"5524"	"220960000"
"2"	"80000"	"29"	"1160000"
"30"	"1200000"	"79"	"3160000"
"83"	"3320000"	"122"	"4880000"
"123"	"4920000"	"235"	"9400000"
"236"	"9440000"	"254"	"10160000"
"255"	"10200000"	"279"	"11160000"
"280"	"11200000"	"306"	"12240000"
