from.id	from.cord	to.id	to.cord
2	80000	79	3160000
80	3200000	119	4760000
120	4800000	132	5280000
133	5320000	180	7200000
181	7240000	212	8480000
239	9560000	242	9680000
248	9920000	251	10040000
273	10920000	279	11160000
281	11240000	284	11360000
286	11440000	292	11680000
363	14520000	367	14680000
368	14720000	408	16320000
409	16360000	415	16600000
416	16640000	461	18440000
462	18480000	544	21760000
545	21800000	565	22600000
566	22640000	601	24040000
602	24080000	618	24720000
619	24760000	642	25680000
643	25720000	684	27360000
685	27400000	711	28440000
712	28480000	805	32200000
806	32240000	829	33160000
830	33200000	926	37040000
927	37080000	978	39120000
979	39160000	1112	44480000
1113	44520000	1147	45880000
1148	45920000	1174	46960000
1175	47000000	1216	48640000
1217	48680000	1258	50320000
1260	50400000	1294	51760000
1295	51800000	1314	52560000
1315	52600000	1348	53920000
1350	54000000	1410	56400000
1411	56440000	1418	56720000
1419	56760000	1538	61520000
1539	61560000	1654	66160000
1656	66240000	1675	67000000
1676	67040000	1727	69080000
1728	69120000	1890	75600000
1895	75800000	1938	77520000
1939	77560000	1994	79760000
1995	79800000	2021	80840000
2022	80880000	2040	81600000
2041	81640000	2103	84120000
2104	84160000	2151	86040000
2152	86080000	2188	87520000
2189	87560000	2210	88400000
2212	88480000	2234	89360000
2235	89400000	2262	90480000
2338	93520000	2517	100680000
2518	100720000	2554	102160000
2555	102200000	2580	103200000
2581	103240000	2671	106840000
2672	106880000	2712	108480000
2713	108520000	2753	110120000
2754	110160000	2800	112000000
2801	112040000	2899	115960000
2900	116000000	2969	118760000
2970	118800000	3044	121760000
3045	121800000	3068	122720000
3069	122760000	3109	124360000
3110	124400000	3215	128600000
3216	128640000	3243	129720000
3245	129800000	3264	130560000
3265	130600000	3274	130960000
3275	131000000	3325	133000000
3327	133080000	3349	133960000
3350	134000000	3384	135360000
3385	135400000	3416	136640000
3417	136680000	3431	137240000
3432	137280000	3436	137440000
3437	137480000	3500	140000000
3501	140040000	3559	142360000
3560	142400000	3597	143880000
3598	143920000	3649	145960000
3650	146000000	3673	146920000
3674	146960000	3724	148960000
3725	149000000	3757	150280000
3758	150320000	3779	151160000
3780	151200000	3798	151920000
3799	151960000	3876	155040000
3877	155080000	4347	173880000
4348	173920000	4398	175920000
4399	175960000	4424	176960000
4425	177000000	4494	179760000
4495	179800000	4498	179920000
4499	179960000	4520	180800000
4521	180840000	4550	182000000
4551	182040000	4694	187760000
4695	187800000	4709	188360000
4710	188400000	4745	189800000
4746	189840000	4840	193600000
4841	193640000	4865	194600000
