from.id	from.cord	to.id	to.cord
67	2680000	93	3720000
96	3840000	164	6560000
165	6600000	190	7600000
192	7680000	217	8680000
218	8720000	268	10720000
270	10800000	462	18480000
463	18520000	489	19560000
490	19600000	556	22240000
563	22520000	566	22640000
620	24800000	623	24920000
634	25360000	637	25480000
641	25640000	647	25880000
655	26200000	658	26320000
686	27440000	689	27560000
737	29480000	740	29600000
760	30400000	808	32320000
809	32360000	835	33400000
836	33440000	842	33680000
843	33720000	879	35160000
880	35200000	927	37080000
929	37160000	1105	44200000
1106	44240000	1163	46520000
1164	46560000	1205	48200000
1207	48280000	1229	49160000
1234	49360000	1251	50040000
1252	50080000	1274	50960000
1275	51000000	1294	51760000
1299	51960000	1302	52080000
1314	52560000	1317	52680000
1325	53000000	1334	53360000
1335	53400000	1386	55440000
1396	55840000	1399	55960000
1400	56000000	1410	56400000
1412	56480000	1456	58240000
1542	61680000	1558	62320000
1562	62480000	1574	62960000
1575	63000000	1633	65320000
1634	65360000	1723	68920000
1724	68960000	1740	69600000
1741	69640000	1772	70880000
1775	71000000	1798	71920000
1805	72200000	1837	73480000
1838	73520000	1874	74960000
1875	75000000	1887	75480000
1888	75520000	1905	76200000
1906	76240000	2033	81320000
2034	81360000	2077	83080000
2078	83120000	2124	84960000
2125	85000000	2159	86360000
2160	86400000	2190	87600000
2194	87760000	2198	87920000
2199	87960000	2208	88320000
2209	88360000	2215	88600000
2220	88800000	2225	89000000
2231	89240000	2237	89480000
2243	89720000	2268	90720000
2274	90960000	2305	92200000
2306	92240000	2321	92840000
2322	92880000	2365	94600000
2366	94640000	2416	96640000
2421	96840000	2426	97040000
2427	97080000	2517	100680000
2518	100720000	2535	101400000
2543	101720000	2571	102840000
2572	102880000	2670	106800000
2671	106840000	2699	107960000
2700	108000000	2724	108960000
2725	109000000	2743	109720000
2744	109760000	2775	111000000
2776	111040000	2792	111680000
2793	111720000	2796	111840000
2797	111880000	2837	113480000
2839	113560000	2860	114400000
2861	114440000	2873	114920000
2875	115000000	2891	115640000
2895	115800000	2951	118040000
2952	118080000	2970	118800000
2971	118840000	2978	119120000
2983	119320000	2999	119960000
3003	120120000	3076	123040000
3077	123080000	3089	123560000
3092	123680000	3107	124280000
3109	124360000	3151	126040000
3153	126120000	3191	127640000
3192	127680000	3212	128480000
3219	128760000	3235	129400000
3236	129440000	3301	132040000
3302	132080000	3324	132960000
3325	133000000	3354	134160000
3355	134200000	3358	134320000
3360	134400000	3370	134800000
3374	134960000	3424	136960000
3425	137000000	3470	138800000
3471	138840000	3491	139640000
3492	139680000	3501	140040000
3505	140200000	3513	140520000
3517	140680000	3578	143120000
3583	143320000	3587	143480000
3589	143560000	3621	144840000
