from.id	from.cord	to.id	to.cord
67	2680000	93	3720000
96	3840000	164	6560000
165	6600000	190	7600000
192	7680000	219	8760000
220	8800000	268	10720000
270	10800000	463	18520000
464	18560000	490	19600000
491	19640000	554	22160000
555	22200000	576	23040000
577	23080000	759	30360000
760	30400000	813	32520000
814	32560000	843	33720000
844	33760000	879	35160000
880	35200000	927	37080000
929	37160000	1110	44400000
1111	44440000	1162	46480000
1163	46520000	1205	48200000
1207	48280000	1228	49120000
1235	49400000	1275	51000000
1276	51040000	1297	51880000
1299	51960000	1302	52080000
1314	52560000	1317	52680000
1325	53000000	1328	53120000
1329	53160000	1386	55440000
1389	55560000	1394	55760000
1396	55840000	1399	55960000
1400	56000000	1410	56400000
1411	56440000	1414	56560000
1415	56600000	1461	58440000
1542	61680000	1558	62320000
1562	62480000	1584	63360000
1585	63400000	1630	65200000
1631	65240000	1641	65640000
1643	65720000	1709	68360000
1713	68520000	1716	68640000
1717	68680000	1720	68800000
1721	68840000	1731	69240000
1732	69280000	1737	69480000
1738	69520000	1772	70880000
1775	71000000	1798	71920000
1805	72200000	1834	73360000
1835	73400000	1872	74880000
1873	74920000	1884	75360000
1885	75400000	1905	76200000
1906	76240000	1991	79640000
1992	79680000	2022	80880000
2023	80920000	2030	81200000
2031	81240000	2074	82960000
2075	83000000	2121	84840000
2122	84880000	2154	86160000
2155	86200000	2203	88120000
2204	88160000	2214	88560000
2220	88800000	2226	89040000
2230	89200000	2270	90800000
2271	90840000	2313	92520000
2314	92560000	2356	94240000
2357	94280000	2407	96280000
2413	96520000	2419	96760000
2420	96800000	2512	100480000
2513	100520000	2535	101400000
2543	101720000	2563	102520000
2564	102560000	2588	103520000
2589	103560000	2624	104960000
2625	105000000	2697	107880000
2698	107920000	2713	108520000
2714	108560000	2728	109120000
2729	109160000	2759	110360000
2760	110400000	2791	111640000
2792	111680000	2828	113120000
2829	113160000	2837	113480000
2839	113560000	2853	114120000
2854	114160000	2873	114920000
2875	115000000	2886	115440000
2887	115480000	2891	115640000
2893	115720000	2919	116760000
2920	116800000	2973	118920000
2974	118960000	2978	119120000
2983	119320000	2999	119960000
3003	120120000	3065	122600000
3066	122640000	3081	123240000
3083	123320000	3099	123960000
3101	124040000	3143	125720000
3145	125800000	3186	127440000
3187	127480000	3197	127880000
3198	127920000	3207	128280000
3211	128440000	3267	130680000
3268	130720000	3288	131520000
3289	131560000	3343	133720000
3344	133760000	3355	134200000
3360	134400000	3370	134800000
3374	134960000	3426	137040000
3427	137080000	3481	139240000
3482	139280000	3501	140040000
3505	140200000	3513	140520000
3517	140680000	3557	142280000
3558	142320000	3578	143120000
3582	143280000	3587	143480000
3589	143560000	3596	143840000
3597	143880000	3629	145160000
