from.id	from.cord	to.id	to.cord
2	80000	5	200000
9	360000	36	1440000
37	1480000	84	3360000
85	3400000	148	5920000
150	6000000	169	6760000
171	6840000	312	12480000
313	12520000	338	13520000
339	13560000	383	15320000
384	15360000	405	16200000
406	16240000	425	17000000
426	17040000	472	18880000
473	18920000	496	19840000
497	19880000	542	21680000
543	21720000	568	22720000
569	22760000	591	23640000
592	23680000	610	24400000
611	24440000	635	25400000
636	25440000	682	27280000
683	27320000	709	28360000
710	28400000	756	30240000
757	30280000	770	30800000
771	30840000	852	34080000
853	34120000	914	36560000
915	36600000	1009	40360000
1010	40400000	1054	42160000
1055	42200000	1074	42960000
1075	43000000	1103	44120000
1104	44160000	1209	48360000
1210	48400000	1257	50280000
1258	50320000	1288	51520000
1289	51560000	1387	55480000
1388	55520000	1408	56320000
1409	56360000	1424	56960000
1428	57120000	1431	57240000
1435	57400000	1450	58000000
1549	61960000	1568	62720000
1581	63240000	1624	64960000
1629	65160000	1642	65680000
1644	65760000	1651	66040000
1654	66160000	1673	66920000
1686	67440000	1717	68680000
1718	68720000	1733	69320000
1734	69360000	1763	70520000
1764	70560000	1775	71000000
1776	71040000	1810	72400000
1816	72640000	1826	73040000
1827	73080000	1853	74120000
1876	75040000	1886	75440000
1887	75480000	1915	76600000
1917	76680000	1930	77200000
1931	77240000	1934	77360000
1935	77400000	1951	78040000
1952	78080000	1984	79360000
1985	79400000	2070	82800000
2071	82840000	2103	84120000
2104	84160000	2156	86240000
2157	86280000	2208	88320000
2209	88360000	2261	90440000
2262	90480000	2292	91680000
2293	91720000	2324	92960000
2325	93000000	2345	93800000
2346	93840000	2417	96680000
2418	96720000	2462	98480000
2463	98520000	2513	100520000
2515	100600000	2550	102000000
2558	102320000	2597	103880000
2598	103920000	2650	106000000
2652	106080000	2667	106680000
2668	106720000	3093	123720000
3094	123760000	3148	125920000
3176	127040000	3179	127160000
3196	127840000	3199	127960000
3248	129920000	3253	130120000
3256	130240000	3418	136720000
3419	136760000	3495	139800000
3496	139840000	3556	142240000
3558	142320000	3570	142800000
3571	142840000	3580	143200000
3588	143520000	3596	143840000
3601	144040000	3617	144680000
3618	144720000	3759	150360000
3760	150400000	3825	153000000
