TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
ZMYM3	2.852	2.172e-03	3.880	0.713	0.022	4.982e-05
POLR2A	37.129	4.862e-302	1.883	0.732	0.033	1.628e-04
MYC	9.429	2.069e-21	1.848	0.722	0.038	2.420e-04
HDAC1	3.593	1.633e-04	1.864	0.717	0.043	3.703e-04
FXR1	1.728	4.202e-02	3.374	0.723	0.045	3.986e-04
SUPT5H	3.639	1.370e-04	1.596	0.723	0.052	6.242e-04
MAPK1	2.348	9.432e-03	2.342	0.701	0.054	7.055e-04
KLF9	3.002	1.339e-03	1.738	0.708	0.058	8.562e-04
ZNF639	2.171	1.498e-02	2.511	0.698	0.058	8.724e-04
FAM208A	2.254	1.211e-02	2.552	0.696	0.058	8.724e-04
TCOF1	1.710	4.360e-02	2.601	0.709	0.059	9.053e-04
MYH11	1.986	2.349e-02	2.086	0.717	0.060	9.562e-04
MAX	2.929	1.699e-03	1.722	0.705	0.061	1.045e-03
TBP	2.314	1.033e-02	1.805	0.711	0.063	1.140e-03
MBD2	2.150	1.577e-02	1.738	0.725	0.064	1.199e-03
CBFB	2.791	2.629e-03	1.536	0.713	0.066	1.302e-03
DPF1	1.458	7.245e-02	5.762	0.696	0.070	1.574e-03
BRPF3	2.899	1.869e-03	1.389	0.715	0.070	1.574e-03
SP1	3.338	4.217e-04	1.374	0.702	0.075	1.936e-03
SIN3A	3.645	1.338e-04	1.065	0.712	0.083	2.610e-03
ZBTB7A	3.989	3.313e-05	1.502	0.687	0.084	2.644e-03
CREB1	3.680	1.166e-04	1.321	0.690	0.089	3.150e-03
NKRF	1.845	3.254e-02	2.786	0.680	0.091	3.385e-03
GTF3C2	1.595	5.534e-02	4.410	0.681	0.091	3.426e-03
DNMT3B	2.154	1.563e-02	2.873	0.676	0.092	3.466e-03
KLF1	2.512	6.007e-03	2.778	0.674	0.092	3.507e-03
HEY1	1.833	3.337e-02	3.359	0.676	0.096	3.934e-03
KLF13	1.852	3.202e-02	2.661	0.678	0.096	3.979e-03
KAT5	2.624	4.349e-03	1.166	0.699	0.098	4.300e-03
PAF1	4.973	3.292e-07	0.841	0.707	0.099	4.347e-03
ZBTB33	3.289	5.036e-04	3.083	0.666	0.099	4.395e-03
AUTS2	1.659	4.860e-02	1.635	0.699	0.100	4.443e-03
ATF1	2.482	6.528e-03	1.932	0.677	0.102	4.738e-03
MXI1	2.071	1.920e-02	1.725	0.683	0.106	5.421e-03
E2F6	2.373	8.817e-03	1.697	0.678	0.109	5.758e-03
NRF1	6.116	4.805e-10	0.774	0.698	0.110	5.931e-03
NFYA	2.745	3.025e-03	1.173	0.688	0.110	5.931e-03
BRD1	1.698	4.478e-02	1.212	0.706	0.110	6.048e-03
KAT7	1.689	4.561e-02	1.193	0.704	0.114	6.596e-03
EPC1	2.135	1.638e-02	1.192	0.691	0.114	6.722e-03
ZNF740	1.523	6.393e-02	2.513	0.677	0.117	7.242e-03
