TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
AR	19.123	8.105e-82	11.328	0.547	0.013	9.753e-06
HOXB13	6.577	2.393e-11	12.655	0.552	0.014	1.338e-05
MAML3	3.439	2.916e-04	16.390	0.538	0.020	3.478e-05
FOXA1	17.319	1.699e-67	9.677	0.538	0.023	5.741e-05
GATA3	9.187	2.026e-20	10.079	0.527	0.025	7.170e-05
TLE3	3.517	2.180e-04	12.649	0.531	0.026	7.482e-05
REST	7.696	7.019e-15	10.051	0.524	0.028	1.031e-04
DUX4	2.589	4.815e-03	13.573	0.534	0.029	1.070e-04
EHMT2	5.109	1.623e-07	9.745	0.535	0.031	1.377e-04
FOXA2	6.487	4.368e-11	10.684	0.517	0.032	1.425e-04
PIAS1	5.941	1.419e-09	9.728	0.525	0.033	1.681e-04
RAD21	8.744	1.128e-18	9.996	0.514	0.035	1.908e-04
ATF4	3.199	6.899e-04	10.178	0.527	0.035	1.908e-04
GATA6	4.723	1.161e-06	10.072	0.518	0.036	2.154e-04
OTX2	6.706	1.001e-11	9.527	0.517	0.036	2.154e-04
PHOX2B	1.717	4.296e-02	41.411	0.532	0.037	2.218e-04
NUP98-HOXA9	1.730	4.183e-02	12.235	0.555	0.037	2.284e-04
CENPT	1.726	4.222e-02	13.984	0.541	0.038	2.490e-04
EBF3	2.368	8.936e-03	10.939	0.520	0.039	2.707e-04
LMNA	2.270	1.160e-02	10.448	0.528	0.040	2.782e-04
GATA2	4.805	7.750e-07	9.848	0.513	0.043	3.703e-04
CTCF	23.095	2.584e-118	7.144	0.513	0.047	4.593e-04
SMC3	7.045	9.243e-13	7.220	0.515	0.048	4.918e-04
NANOG	6.125	4.527e-10	5.284	0.549	0.048	4.918e-04
CEBPB	8.575	4.970e-18	5.425	0.529	0.049	5.258e-04
EP300	7.294	1.501e-13	4.846	0.568	0.049	5.375e-04
SOX2	5.875	2.112e-09	5.326	0.544	0.050	5.494e-04
GATA4	5.349	4.411e-08	9.181	0.511	0.050	5.736e-04
SMARCA2	2.403	8.132e-03	7.312	0.530	0.050	5.736e-04
HOXC9	2.274	1.147e-02	11.532	0.507	0.052	6.242e-04
SMC1A	5.890	1.931e-09	6.753	0.515	0.053	6.777e-04
ATF7IP	1.381	8.365e-02	10.952	0.560	0.054	6.915e-04
CDX2	2.270	1.160e-02	6.145	0.547	0.054	7.055e-04
NKX3-1	2.083	1.861e-02	9.487	0.517	0.054	7.197e-04
SIX2	3.471	2.594e-04	10.341	0.499	0.056	8.090e-04
TRIM28	2.187	1.438e-02	14.063	0.501	0.058	8.887e-04
CHAT	1.972	2.429e-02	25.864	0.498	0.059	9.390e-04
EOMES	3.148	8.216e-04	6.352	0.516	0.060	9.736e-04
ZNF486	1.996	2.295e-02	69.701	0.496	0.061	1.045e-03
PRDM1	1.913	2.785e-02	7.122	0.520	0.064	1.199e-03
ZNF649	1.590	5.593e-02	16.791	0.505	0.065	1.219e-03
ARID1A	1.453	7.315e-02	8.880	0.536	0.065	1.260e-03
TCF4	2.128	1.668e-02	9.371	0.506	0.066	1.281e-03
PDX1	2.080	1.875e-02	9.342	0.504	0.069	1.503e-03
TBX5	2.781	2.714e-03	11.965	0.489	0.071	1.623e-03
TEAD1	3.162	7.844e-04	4.677	0.522	0.072	1.647e-03
NR3C1	8.224	9.808e-17	4.689	0.511	0.072	1.698e-03
HAND2	1.680	4.649e-02	7.145	0.515	0.073	1.775e-03
ZIM3	1.575	5.767e-02	14.700	0.498	0.075	1.908e-03
PAX3	1.587	5.627e-02	9.945	0.504	0.078	2.107e-03
TOP1	2.623	4.354e-03	8.374	0.493	0.079	2.196e-03
TEAD4	3.249	5.798e-04	4.699	0.512	0.080	2.287e-03
POU5F1	5.811	3.104e-09	4.114	0.515	0.080	2.287e-03
ZNF654	2.193	1.414e-02	6.496	0.502	0.082	2.445e-03
