Chr	Start	End	DCI_Score
chr10	100520000	100560000	7.596506128129
chr10	101800000	101840000	9.261508890464713
chr10	102040000	102080000	8.840385934409216
chr10	102080000	102120000	7.895161755931156
chr10	102120000	102160000	9.864448870152936
chr10	102160000	102200000	9.154269141017405
chr10	102200000	102240000	7.340500187609727
chr10	102320000	102360000	7.946802549743231
chr10	102360000	102400000	8.632804653108643
chr10	102400000	102440000	7.542482481480786
chr10	102440000	102480000	9.41223613874696
chr10	102520000	102560000	8.533185647181648
chr10	102600000	102640000	7.783016841034295
chr10	102640000	102680000	8.91168136736093
chr10	102680000	102720000	7.586167369257179
chr10	102760000	102800000	8.296160346607723
chr10	103440000	103480000	9.871653794779489
chr10	103480000	103520000	7.818540891416278
chr10	103520000	103560000	8.487004428217787
chr10	103560000	103600000	7.140177226429947
chr10	103720000	103760000	7.653936497806621
chr10	103840000	103880000	11.279600985249054
chr10	1040000	1080000	7.915179013208075
chr10	116080000	116120000	7.6988990588534545
chr10	118880000	118920000	7.1172433884241215
chr10	118920000	118960000	7.7913662871123215
chr10	118960000	119000000	8.20875085993897
chr10	119000000	119040000	8.905802565721206
chr10	119040000	119080000	8.296947665065955
chr10	119080000	119120000	9.062583042702107
chr10	119120000	119160000	9.054800551594287
chr10	119200000	119240000	11.109833870845044
chr10	119240000	119280000	9.194149921468096
chr10	119280000	119320000	11.325521861675014
chr10	119360000	119400000	10.203000868914387
chr10	119440000	119480000	7.225110043003792
chr10	119480000	119520000	7.247770184909529
chr10	119520000	119560000	9.036108789079305
chr10	119600000	119640000	7.2777145631595985
chr10	119640000	119680000	10.604809665624929
chr10	119720000	119760000	7.166108179771722
chr10	119880000	119920000	7.1603100533489
chr10	12040000	12080000	7.493243877926679
chr10	12080000	12120000	9.068301804935077
chr10	12120000	12160000	7.533126489633965
chr10	12160000	12200000	7.2679283783733695
chr10	122240000	122280000	8.318000621657777
chr10	123840000	123880000	7.2294859059332595
chr10	123880000	123920000	10.423110438594515
chr10	123920000	123960000	9.339996087573436
chr10	123960000	124000000	9.47779563427601
chr10	124480000	124520000	7.357931196034682
chr10	124520000	124560000	8.75158717039593
