Chr	Start	End	DCI_Score	Coordinate	ClosestTAD	Distance
chr1	1320000	1360000	8.578795109693289	(1320000, 0)	(1320000, 0)	0.0
chr1	4080000	4120000	8.749200006437656	(4080000, 0)	(4080000, 0)	0.0
chr1	4120000	4160000	8.304265920459077	(4120000, 0)	(4120000, 0)	0.0
chr1	4280000	4320000	7.157846316608333	(4280000, 0)	(4280000, 0)	0.0
chr1	4320000	4360000	7.4902687376790515	(4320000, 0)	(4320000, 0)	0.0
chr1	4440000	4480000	7.768089886600799	(4440000, 0)	(4440000, 0)	0.0
chr1	4560000	4600000	11.840852330910812	(4560000, 0)	(4560000, 0)	0.0
chr1	4600000	4640000	9.536683875567087	(4600000, 0)	(4600000, 0)	0.0
chr1	4720000	4760000	8.03453334393926	(4720000, 0)	(4720000, 0)	0.0
chr1	4800000	4840000	8.25434624371062	(4800000, 0)	(4760000, 0)	40000.0
chr1	4880000	4920000	11.255002319231098	(4880000, 0)	(4880000, 0)	0.0
chr1	5240000	5280000	7.659203345937022	(5240000, 0)	(5200000, 0)	40000.0
chr1	5400000	5440000	8.455652510806548	(5400000, 0)	(5400000, 0)	0.0
chr1	5480000	5520000	10.232626692849099	(5480000, 0)	(5480000, 0)	0.0
chr1	19320000	19360000	14.217328495366758	(19320000, 0)	(19320000, 0)	0.0
chr1	48440000	48480000	7.207516695175631	(48440000, 0)	(48440000, 0)	0.0
chr1	49440000	49480000	9.31823710316461	(49440000, 0)	(49440000, 0)	0.0
chr1	49560000	49600000	7.331318242631843	(49560000, 0)	(49560000, 0)	0.0
chr1	49720000	49760000	7.984617846270202	(49720000, 0)	(49680000, 0)	40000.0
chr1	52040000	52080000	9.527998586819617	(52040000, 0)	(52080000, 0)	40000.0
chr1	110160000	110200000	8.01987659151084	(110160000, 0)	(110160000, 0)	0.0
chr1	111440000	111480000	7.298798216354818	(111440000, 0)	(111440000, 0)	0.0
chr1	152440000	152480000	7.496718810662387	(152440000, 0)	(152480000, 0)	40000.0
chr1	154560000	154600000	7.690715078921992	(154560000, 0)	(154560000, 0)	0.0
chr1	224440000	224480000	7.690524460722907	(224440000, 0)	(224400000, 0)	40000.0
chr1	226960000	227000000	8.832938225612171	(226960000, 0)	(226960000, 0)	0.0
chr1	228240000	228280000	10.084699227502671	(228240000, 0)	(228200000, 0)	40000.0
chr1	228280000	228320000	10.67682557955226	(228280000, 0)	(228280000, 0)	0.0
chr2	1800000	1840000	7.827362768111371	(1800000, 0)	(1800000, 0)	0.0
chr2	3400000	3440000	9.046684893850156	(3400000, 0)	(3400000, 0)	0.0
chr2	3440000	3480000	9.422928969032736	(3440000, 0)	(3440000, 0)	0.0
chr2	3480000	3520000	11.304160710979845	(3480000, 0)	(3480000, 0)	0.0
chr2	9360000	9400000	8.45393195698288	(9360000, 0)	(9360000, 0)	0.0
chr2	10680000	10720000	11.197221539068956	(10680000, 0)	(10720000, 0)	40000.0
chr2	28480000	28520000	12.06879852464889	(28480000, 0)	(28520000, 0)	40000.0
chr2	30240000	30280000	8.454235034002465	(30240000, 0)	(30200000, 0)	40000.0
chr2	32320000	32360000	12.78961895127448	(32320000, 0)	(32280000, 0)	40000.0
chr2	32360000	32400000	11.017648684450355	(32360000, 0)	(32360000, 0)	0.0
chr2	42760000	42800000	13.649677444490251	(42760000, 0)	(42760000, 0)	0.0
chr2	61160000	61200000	7.528505831785487	(61160000, 0)	(61160000, 0)	0.0
chr2	85600000	85640000	11.014931318715446	(85600000, 0)	(85560000, 0)	40000.0
chr2	98000000	98040000	7.743169653476381	(98000000, 0)	(98000000, 0)	0.0
chr2	98560000	98600000	7.453132335527017	(98560000, 0)	(98600000, 0)	40000.0
chr2	113000000	113040000	7.563298595446866	(113000000, 0)	(113000000, 0)	0.0
chr2	114080000	114120000	7.536906906601397	(114080000, 0)	(114080000, 0)	0.0
chr2	127080000	127120000	9.903103333211977	(127080000, 0)	(127040000, 0)	40000.0
chr2	134960000	135000000	8.657125362379434	(134960000, 0)	(134960000, 0)	0.0
chr2	158840000	158880000	8.028925745347598	(158840000, 0)	(158840000, 0)	0.0
chr2	191440000	191480000	8.575724420462146	(191440000, 0)	(191440000, 0)	0.0
chr2	202560000	202600000	10.901936563607046	(202560000, 0)	(202520000, 0)	40000.0
chr2	237880000	237920000	8.645902171354585	(237880000, 0)	(237840000, 0)	40000.0
chr2	241160000	241200000	9.087069177089566	(241160000, 0)	(241120000, 0)	40000.0
chr3	5480000	5520000	8.897242755035476	(5480000, 0)	(5520000, 0)	40000.0
chr3	5560000	5600000	10.1712877202163	(5560000, 0)	(5560000, 0)	0.0
chr3	5720000	5760000	9.91876531306291	(5720000, 0)	(5680000, 0)	40000.0
chr3	6480000	6520000	7.698696502590793	(6480000, 0)	(6480000, 0)	0.0
chr3	13840000	13880000	9.466317353743447	(13840000, 0)	(13880000, 0)	40000.0
chr3	14120000	14160000	8.173848225210904	(14120000, 0)	(14120000, 0)	0.0
chr3	20000000	20040000	8.175412726074097	(20000000, 0)	(20040000, 0)	40000.0
chr3	44880000	44920000	9.308301767150118	(44880000, 0)	(44920000, 0)	40000.0
chr3	47280000	47320000	8.180385230556675	(47280000, 0)	(47280000, 0)	0.0
chr3	47840000	47880000	8.497356513728375	(47840000, 0)	(47800000, 0)	40000.0
chr3	48600000	48640000	8.835048816537418	(48600000, 0)	(48560000, 0)	40000.0
chr3	48640000	48680000	9.250154198252675	(48640000, 0)	(48640000, 0)	0.0
chr3	49680000	49720000	10.756318217526871	(49680000, 0)	(49680000, 0)	0.0
chr3	51360000	51400000	7.444753040281457	(51360000, 0)	(51360000, 0)	0.0
chr3	51440000	51480000	9.150157359253235	(51440000, 0)	(51440000, 0)	0.0
chr3	51680000	51720000	11.870819992712471	(51680000, 0)	(51640000, 0)	40000.0
chr3	58120000	58160000	8.71908299716541	(58120000, 0)	(58120000, 0)	0.0
chr3	73120000	73160000	8.851696160763266	(73120000, 0)	(73120000, 0)	0.0
chr3	75320000	75360000	7.5388480259953745	(75320000, 0)	(75320000, 0)	0.0
chr3	105880000	105920000	8.064523791351872	(105880000, 0)	(105880000, 0)	0.0
chr3	128880000	128920000	12.767582943508533	(128880000, 0)	(128880000, 0)	0.0
chr3	129320000	129360000	10.613264564669931	(129320000, 0)	(129320000, 0)	0.0
chr3	172680000	172720000	9.047633227615576	(172680000, 0)	(172680000, 0)	0.0
chr3	196520000	196560000	10.399590578788748	(196520000, 0)	(196560000, 0)	40000.0
chr4	560000	600000	9.739454605167898	(560000, 0)	(520000, 0)	40000.0
chr4	800000	840000	10.613893339829707	(800000, 0)	(800000, 0)	0.0
chr4	880000	920000	9.753185275837945	(880000, 0)	(880000, 0)	0.0
chr4	960000	1000000	8.497292066771347	(960000, 0)	(960000, 0)	0.0
chr4	1000000	1040000	8.004700144026359	(1000000, 0)	(1000000, 0)	0.0
chr4	3480000	3520000	11.454532851686034	(3480000, 0)	(3480000, 0)	0.0
chr4	9680000	9720000	12.222917565051127	(9680000, 0)	(9680000, 0)	0.0
chr4	10120000	10160000	10.91696433614722	(10120000, 0)	(10120000, 0)	0.0
chr4	108000000	108040000	8.087915573707335	(108000000, 0)	(107960000, 0)	40000.0
chr4	159800000	159840000	8.90242738617475	(159800000, 0)	(159840000, 0)	40000.0
chr5	3080000	3120000	8.336423042175582	(3080000, 0)	(3120000, 0)	40000.0
chr5	3360000	3400000	9.235951487298923	(3360000, 0)	(3320000, 0)	40000.0
chr5	3560000	3600000	9.081859761942988	(3560000, 0)	(3560000, 0)	0.0
chr5	3600000	3640000	11.01396704137633	(3600000, 0)	(3600000, 0)	0.0
chr5	3720000	3760000	8.38279635914048	(3720000, 0)	(3680000, 0)	40000.0
chr5	3800000	3840000	7.545055137397256	(3800000, 0)	(3760000, 0)	40000.0
chr5	3840000	3880000	10.726952567479444	(3840000, 0)	(3840000, 0)	0.0
