Chr	Start	End	Coordinate	ClosestTAD	Feature	KO_RANK	norm_count	ID	Distance
chr1	66417246	66425819	(66417246, 0)	(52040000, 0)	LTR5	4.0	100.0	5913_1:66417246-66425819	14377246.0
chr1	155626664	155635845	(155626664, 0)	(154560000, 0)	LTR5	2.0	10000.0	K-10_1:155626664-155635845	1066664.0
chr3	9841749	9854710	(9841749, 0)	(6480000, 0)	LTR5	2.0	8000.0	864_3:9841749-9854710	3361749.0
chr3	101692113	101701253	(101692113, 0)	(106080000, 0)	LTR5	2.0	16000.0	1045_3:101692113-101701253	4387887.0
chr3	185562546	185571727	(185562546, 0)	(196520000, 0)	LTR5	2.0	5000.0	K-15_3:185562546-185571727	10957454.0
chr4	164995689	165005061	(164995689, 0)	(182840000, 0)	LTR5	3.0	1200.0	1685_4:164995689-165005061	17844311.0
chr5	30485108	30495950	(30485108, 0)	(50880000, 0)	LTR5	3.0	1700.0	1793_5:30485108-30495950	20394892.0
chr5	156657704	156666885	(156657704, 0)	(161400000, 0)	LTR5	1.0	52000.0	K-11_5:156657704-156666885	4742296.0
chr6	77716943	77726366	(77716943, 0)	(77960000, 0)	LTR5	1.0	50000.0	K-9_6:77716943-77726366	243057.0
chr7	4590929	4600359	(4590929, 0)	(4800000, 0)	LTR5	2.0	7000.0	2409_7:4590929-4600359	209071.0
chr7	104747920	104752819	(104747920, 0)	(106240000, 0)	LTR5	3.0	2200.0	K-47_7:104747920-104752819	1492080.0
chr8	7497873	7507337	(7497873, 0)	(4640000, 0)	LTR5	2.0	22000.0	K-7_8:7497873-7507337	2857873.0
chr10	6824177	6833641	(6824177, 0)	(37680000, 0)	LTR5	4.0	140.0	K-22_10:6824177-6833641	30855823.0
chr10	99818701	99827957	(99818701, 0)	(85120000, 0)	LTR5	3.0	1800.0	3340_10:99818701-99827957	14698701.0
chr11	62368489	62383091	(62368489, 0)	(71880000, 0)	LTR5	2.0	8000.0	HERVK-27_11:62368489-62383091	9511511.0
chr11	118721013	118730174	(118721013, 0)	(117240000, 0)	LTR5	2.0	22000.0	K-20_11:118721013-118730174	1481013.0
chr12	58327457	58336915	(58327457, 0)	(37520000, 0)	LTR5	2.0	13000.0	K-13_12:58327457-58336915	20807457.0
chr19	27637113	27646451	(27637113, 0)	(19960000, 0)	LTR5	2.0	9000.0	4695_19:27637113-27646451	7677113.0
chr22	18938672	18947848	(18938672, 0)	(20080000, 0)	LTR5	1.0	55000.0	K-14_22:18938672-18947848	1141328.0
