Chr	Feature	Start	End	KO_RANK	norm_count	ID
chr22	LTR5B	23538315	23548383	1	120000	6272_22:23538315-23548383
chr22	LTR5	18938672	18947848	1	55000	K-14_22:18938672-18947848
chr5	LTR5	156657704	156666885	1	52000	K-11_5:156657704-156666885
chr6	LTR5	77716943	77726366	1	50000	K-9_6:77716943-77726366
chr8	LTR5	7497873	7507337	2	22000	K-7_8:7497873-7507337
chr11	LTR5	118721013	118730174	2	22000	K-20_11:118721013-118730174
chr3	LTR5	101692113	101701253	2	16000	1045_3:101692113-101701253
chr11	LTR5	101695061	101704528	2	15000	K-8_11:101695061-101704528
chr12	LTR5	58327457	58336915	2	13000	K-13_12:58327457-58336915
chr3	LTR5	113024275	113033435	2	12000	K-12_3:113024275-113033435
chr1	LTR5	155626664	155635845	2	10000	K-10_1:155626664-155635845
chr19	LTR5	27637113	27646451	2	9000	4695_19:27637113-27646451
chr3	LTR5	9841749	9854710	2	8000	864_3:9841749-9854710
chr11	LTR5	62368489	62383091	2	8000	HERVK-27_11:62368489-62383091
chr7	LTR5	4590929	4600359	2	7000	2409_7:4590929-4600359
chr3	LTR5	185562546	185571727	2	5000	K-15_3:185562546-185571727
chr7	LTR5	104747920	104752819	3	2200	K-47_7:104747920-104752819
chr1	LTR5	75377241	75387497	3	2000	5931_1:75377241-75387497
chr10	LTR5	99818701	99827957	3	1800	3340_10:99818701-99827957
chr5	LTR5	30485108	30495950	3	1700	1793_5:30485108-30495950
chr4	LTR5	164995689	165005061	3	1200	1685_4:164995689-165005061
chr4	LTR5	160658784	160661286	4	600	K-83_4:160658784-160661286
chr10	LTR5	6824177	6833641	4	140	K-22_10:6824177-6833641
chr1	LTR5	66417246	66425819	4	100	5913_1:66417246-66425819
