Chr	Start	End	Coordinate	ClosestTAD	Distance	TAD_Size
chr1	720000	2520000	(720000, 0)	(1320000, 0)	600000.0	1800000
chr1	4000000	4720000	(4000000, 0)	(4080000, 0)	80000.0	720000
chr1	4760000	6640000	(4760000, 0)	(4720000, 0)	40000.0	1880000
chr1	18880000	21120000	(18880000, 0)	(19320000, 0)	440000.0	2240000
chr1	48400000	49640000	(48400000, 0)	(48440000, 0)	40000.0	1240000
chr1	49680000	63120000	(49680000, 0)	(49720000, 0)	40000.0	13440000
chr2	1920000	3760000	(1920000, 0)	(1800000, 0)	120000.0	1840000
chr2	3800000	5000000	(3800000, 0)	(3480000, 0)	320000.0	1200000
chr2	28000000	29160000	(28000000, 0)	(28480000, 0)	480000.0	1160000
chr2	43200000	43880000	(43200000, 0)	(42760000, 0)	440000.0	680000
chr2	85600000	87040000	(85600000, 0)	(85600000, 0)	0.0	1440000
chr2	98160000	107000000	(98160000, 0)	(98000000, 0)	160000.0	8840000
chr2	113160000	113640000	(113160000, 0)	(113000000, 0)	160000.0	480000
chr2	113880000	117440000	(113880000, 0)	(114080000, 0)	200000.0	3560000
chr2	135720000	137680000	(135720000, 0)	(134960000, 0)	760000.0	1960000
chr2	159120000	159240000	(159120000, 0)	(158840000, 0)	280000.0	120000
chr3	5320000	7240000	(5320000, 0)	(5480000, 0)	160000.0	1920000
chr3	7280000	8480000	(7280000, 0)	(6480000, 0)	800000.0	1200000
chr3	14240000	16640000	(14240000, 0)	(14120000, 0)	120000.0	2400000
chr3	44280000	45880000	(44280000, 0)	(44880000, 0)	600000.0	1600000
chr3	46760000	47920000	(46760000, 0)	(47280000, 0)	520000.0	1160000
chr3	47960000	50320000	(47960000, 0)	(47840000, 0)	120000.0	2360000
chr3	50360000	52160000	(50360000, 0)	(49680000, 0)	680000.0	1800000
chr3	52200000	53440000	(52200000, 0)	(51680000, 0)	520000.0	1240000
chr3	58600000	66160000	(58600000, 0)	(58120000, 0)	480000.0	7560000
chr3	75880000	76000000	(75880000, 0)	(75320000, 0)	560000.0	120000
chr3	128360000	129720000	(128360000, 0)	(128880000, 0)	520000.0	1360000
chr3	129800000	130960000	(129800000, 0)	(129320000, 0)	480000.0	1160000
chr3	173600000	173720000	(173600000, 0)	(172680000, 0)	920000.0	120000
chr4	440000	1400000	(440000, 0)	(560000, 0)	120000.0	960000
chr4	1520000	3560000	(1520000, 0)	(1000000, 0)	520000.0	2040000
chr4	3600000	3960000	(3600000, 0)	(3480000, 0)	120000.0	360000
chr4	9360000	12880000	(9360000, 0)	(9680000, 0)	320000.0	3520000
chr4	159040000	163840000	(159040000, 0)	(159800000, 0)	760000.0	4800000
chr5	66400000	67880000	(66400000, 0)	(65800000, 0)	600000.0	1480000
chr5	78800000	81240000	(78800000, 0)	(79800000, 0)	1000000.0	2440000
chr6	16400000	17320000	(16400000, 0)	(16200000, 0)	200000.0	920000
chr6	152080000	153520000	(152080000, 0)	(151360000, 0)	720000.0	1440000
chr7	44160000	48360000	(44160000, 0)	(44680000, 0)	520000.0	4200000
chr7	55520000	56320000	(55520000, 0)	(56280000, 0)	760000.0	800000
chr7	56360000	56960000	(56360000, 0)	(56320000, 0)	40000.0	600000
chr7	57120000	57240000	(57120000, 0)	(57200000, 0)	80000.0	120000
chr7	57400000	58000000	(57400000, 0)	(57360000, 0)	40000.0	600000
chr7	63240000	64960000	(63240000, 0)	(63880000, 0)	640000.0	1720000
chr7	65160000	65680000	(65160000, 0)	(64840000, 0)	320000.0	520000
chr7	67440000	68680000	(67440000, 0)	(67800000, 0)	360000.0	1240000
chr7	68720000	69320000	(68720000, 0)	(68720000, 0)	0.0	600000
chr7	69360000	70520000	(69360000, 0)	(69240000, 0)	120000.0	1160000
chr8	2200000	4200000	(2200000, 0)	(2600000, 0)	400000.0	2000000
chr8	4240000	5000000	(4240000, 0)	(4320000, 0)	80000.0	760000
chr8	5040000	6800000	(5040000, 0)	(4600000, 0)	440000.0	1760000
chr8	43520000	43800000	(43520000, 0)	(43400000, 0)	120000.0	280000
chr8	46840000	47120000	(46840000, 0)	(46760000, 0)	80000.0	280000
chr8	48080000	51040000	(48080000, 0)	(47760000, 0)	320000.0	2960000
chr8	57120000	57240000	(57120000, 0)	(57240000, 0)	120000.0	120000
chr8	96080000	96560000	(96080000, 0)	(96320000, 0)	240000.0	480000
chr8	122120000	124680000	(122120000, 0)	(122640000, 0)	520000.0	2560000
chr8	133280000	134200000	(133280000, 0)	(133480000, 0)	200000.0	920000
chr8	134240000	135280000	(134240000, 0)	(134280000, 0)	40000.0	1040000
chr9	6800000	7640000	(6800000, 0)	(6760000, 0)	40000.0	840000
chr9	16160000	17560000	(16160000, 0)	(16200000, 0)	40000.0	1400000
chr9	32440000	33280000	(32440000, 0)	(33000000, 0)	560000.0	840000
chr9	33560000	33720000	(33560000, 0)	(33000000, 0)	560000.0	160000
chr10	37640000	38800000	(37640000, 0)	(37680000, 0)	40000.0	1160000
chr10	42880000	46200000	(42880000, 0)	(43440000, 0)	560000.0	3320000
chr10	127440000	128320000	(127440000, 0)	(127000000, 0)	440000.0	880000
chr10	128360000	128600000	(128360000, 0)	(128880000, 0)	520000.0	240000
chr11	160000	1120000	(160000, 0)	(520000, 0)	360000.0	960000
chr11	1200000	3240000	(1200000, 0)	(1200000, 0)	0.0	2040000
chr11	4320000	12080000	(4320000, 0)	(4160000, 0)	160000.0	7760000
chr11	48200000	50760000	(48200000, 0)	(48520000, 0)	320000.0	2560000
chr11	71760000	73400000	(71760000, 0)	(71880000, 0)	120000.0	1640000
chr11	118000000	120960000	(118000000, 0)	(117280000, 0)	720000.0	2960000
